act,data_editie,tip,titlu,categorie,partener,semnat,editie,suport_bugetar,link
"nr. 1527-IX, 15 iulie 2024",18.07.2024,Decret,Decret cu privire la promulgarea Legii pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea realizării Proiectului „Conectivitate rurală în Moldova”,Împrumut,BIRD,,308-310,,https://monitorul.gov.md/ro/search
"nr. 487, 8 iulie 2024",09.07.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de grant dintre Republica Moldova și Banca de Dezvoltare a Consiliului Europei pentru implementarea măsurilor de eficiență energetică în cadrul Proiectului „Locuințe publice III”, semnat la Chișinău la 1 iulie 2024",Grant,CEB,01.07.2024,295-298,,https://monitorul.gov.md/ro/search
"nr. 484, 8 iulie 2024",09.07.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de finanțare dintre Republica Moldova și Asociația Internațională pentru Dezvoltare în vederea realizării Proiectului „Conectivitate rurală în Moldova”, semnat la 19 iunie 2024",Împrumut,AID,19.06.2024,295-298,,https://monitorul.gov.md/ro/search
"nr. 483, 8 iulie 2024",09.07.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare în vederea realizării Proiectului „Conectivitate rurală în Moldova”, semnat la 19 iunie 2024",Împrumut,BIRD,19.06.2024,295-298,,https://monitorul.gov.md/ro/search
"nr. 482, 8 iulie 2024",09.07.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de grant dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare, acționând în calitate de entitate de implementare a Fondului fiduciar pentru prevenirea, pregătirea și răspunsul la pandemii, semnat la Chișinău la 17 iunie 2024",Grant,BIRD,17.06.2024,295-298,,https://monitorul.gov.md/ro/search
"nr. 481, 8 iulie 2024",09.07.2024,Hotărâre,"Hotărâre privind aprobarea proiectului de lege pentru ratificarea Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție și Dezvoltare cu privire la Proiectul „Modernizarea și îmbunătățirea serviciilor de reabilitare”, semnat la Chișinău la 17 iunie 2024",Împrumut,BIRD,17.06.2024,295-298,,https://monitorul.gov.md/ro/search
"nr. 475, 3 iulie 2024",04.07.2024,Hotărâre,"Hotărâre cu privire la aprobarea proiectului de lege pentru ratificarea Acordului de modificare nr. 1, semnat la Chișinău la 14 iunie 2024, la Acordul de împrumut dintre Republica Moldova și Banca Europeană pentru Reconstrucție și Dezvoltare „RLF – Răspuns de urgență – Căile Ferate din Moldova”, semnat la Chișinău la 27 iunie 2023",Împrumut,BERD,14.06.2024,287-290,,https://monitorul.gov.md/ro/search
"nr. 453, 26 iunie 2024",27.06.2024,Hotărâre,Hotărâre vu privire la aprobarea semnării Acordului de împrumut dintre Republica Moldova și Banca Internațională pentru Reconstrucție şi Dezvoltare în vederea realizării Programului „Operațiunea politica de dezvoltare pentru sprijinirea creșterii și rezilienței în Moldova”,Împrumut,BIRD,,271-274,,https://monitorul.gov.md/ro/search
"nr. 1497-IX, 24 iunie 2024",27.06.2024,Decret,"Decret cu privire la aprobarea semnării Acordului de grant dintre Republica Moldova, Banca Internațională pentru Reconstrucție şi Dezvoltare și Asociația Internațională pentru Dezvoltare în vederea realizării Programului Fondului fiduciar multidonator „Creștere, Reziliență și Oportunități pentru Bunăstare în Moldova (M-GROW)” pentru cofinanțarea Programului „Operațiunea Politica de Dezvoltare pentru Sprijinirea Creșterii și Rezilienței în Moldova”",Grant,BIRD / AID,,271-274,,https://monitorul.gov.md/ro/search
"nr. 1490-IX, 17 iunie 2024",20.06.2024,Decret,"Decret cu privire la promulgarea Legii pentru ratificarea Amendamentului nr. 2, încheiat prin schimb de scrisori, la Acordul de finanțare dintre Guvernul Republicii Moldova, Uniunea Europeană și Ministerul Dezvoltării Regionale și Administrației Publice al României privind Programul operațional comun Bazinul Mării Negre 2014–2020 pentru Programul de cooperare transfrontalieră al Instrumentului European de Vecinătate (ENI) pe anii 2014–2020",Grant,UE,,260-263,,https://monitorul.gov.md/ro/search
