act,data_editie,tip,titlu,categorie,partener,semnat,editie,suport_bugetar,link
HP204/1998,25.11.1998,Hotărâre,Hotărâre a Parlamentului pentru ratificarea Acordului de credit (Primul Proiect de Cadastru) dintre Republica Moldova şi Asociaţia Internaţională pentru Dezvoltare,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=60484&lang=ro
HG912/1998,02.09.1998,Hotărâre,"Hotărâre despre executarea Hotărîrii Parlamentului Republicii Moldova nr. 1294 – X I II din 23 iulie 1997 ""Cu privire la ratificarea Acordului de împrumut pentru finanţarea proiectului de aprovizionare cu apă potabilă a regiunii de sud a Moldovei, încheiat între Guvernul Republicii Moldova şi ""Export Credit Bank"" (Turcia)""",Împrumut,Turcia,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=52282&lang=ro
HP120/1998,30.07.1998,Hotărâre,"Hotărâre a Parlamentului pentru modificarea Hotărîrii Parlamentului cu privire la ratificarea Acordului de împrumut pentru finanţarea proiectului de aprovizionare cu apă potabilă a regiunii de sud a Moldovei, încheiat între ""Oguzbank"" (Republica Moldova) şi ""Export Credit Bank"" (Turcia), cu garanţia Guvernului Republicii Moldova",Împrumut,Turcia,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=63171&lang=ro
HP119/1998,30.07.1998,Hotărâre,"Hotărâre a Parlamentului privind ratificarea Acordului de împrumut dintre Banca Europeană pentru Reconstrucţie şi Dezvoltare şi Întreprinderea de Stat ""Aeroportul Internaţional Chişinău"" şi a Acordului de garanţie dintre Republica Moldova şi Banca Europeană pentru Reconstrucţie şi Dezvoltare",Împrumut,BERD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=63145&lang=ro
HG408/1998,09.04.1998,Hotărâre,"Hotărâre cu privire la modul de utilizare a împrumutului pentru finanţarea proiectului de aprovizionare cu apă potabilă a regiunii de sud a Moldovei acordat de către ""Export Credit Bank"" (Turcia) cu garanţia Guvernului Republicii Moldova",Împrumut,Turcia,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=44196&lang=ro
HP1600/1998,10.03.1998,Hotărâre,"Hotărâre a Parlamentului pentru ratificarea Acordului de împrumut dintre Banca Europeană pentru Reconstrucţie şi Dezvoltare şi Societatea pe Acţiuni ""Apă-Canal Chişinău"" şi a Acordului de garanţie dintre Republica Moldova şi Banca Europeană pentru Reconstrucţie şi Dezvoltare",Împrumut,BERD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=63664&lang=ro
HP1533/1998,25.02.1998,Hotărâre,Hotărâre a Parlamentului privind ratificarea Acordului de Credit pentru Dezvoltare (Proiectul Doi de Dezvoltare a Sectorului Privat) dintre Republica Moldova şi Asociaţia Internaţională pentru Dezvoltare,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=62766&lang=ro
HP1506/1998,18.02.1998,Hotărâre,Hotărâre a Parlamentului privind ratificarea Acordului de Credit pentru Dezvoltare (Proiectul de Finanţare Rurală) dintre Republica Moldova şi Asociaţia Internaţională pentru Dezvoltare,Împrumut,AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=62759&lang=ro
HP1480/1998,05.02.1998,Hotărâre,Hotărâre a Parlamentului privind ratificarea Acordului de credit pentru dezvoltare dintre Republica Moldova şi Asociaţia Internaţională de Dezvoltare şi Acordului de împrumut dintre Republica Moldova şi Banca Internaţională pentru Reconstrucţie şi Dezvoltare pentru Proiectul reformei învăţămîntului general în Moldova,Împrumut,BIRD / AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=62755&lang=ro
HP1423/1997,23.12.1997,Hotărâre,"Hotărâre a Parlamentului privind modificarea Hotărîrii Parlamentului pentru aprobarea Acordului de împrumut dintre ""Siemens"" S.A. din Republica Federală Germania şi Guvernul Republicii Moldova",Împrumut,Siemens (Germania),,legis.md,,https://www.legis.md/cautare/getResults?doc_id=61236&lang=ro
